qp,job,qp_NSQF,qp_sector,similarity
Helper - Utility Hand Plant Operations,Mechanical fitter,2.0,Iron and Steel,0.5561889410018921
Textile Post Processing Machine Operator,Mechanical fitter,2.0,Textile,0.556008517742157
Planishing Artisan (Metalware),Welder and fitter,3.0,Handicrafts and Carpet,0.5554693341255188
Warranty Incharge,Mechanical fitter,6.0,Automotive,0.5554391741752625
O&M Mechanical Technician-Wind Power Plant,Solar technician,4.0,Green Jobs,0.5553426742553711
Rooftop Rainwater Harvesting Entrepreneur,Solar PV installer,4.0,Green Jobs,0.5553043484687805
Mining Mate/Sirdar,Mechanical fitter,5.0,Mining,0.5552675724029541
Wastewater Treatment Plant Technician,Electrician,4.0,Green Jobs,0.555202066898346
HEMM  Mechanic,Electrician,4.0,Mining,0.5548430681228638
Dairy Products Processor,Mechanical fitter,5.0,Food Processing,0.5547915101051331
Manufacturing Team Challenge,Solar PV installer,4.5,Automotive,0.5542547702789307
Automotive Material Testing Incharge,Mechanical fitter,5.0,Automotive,0.5542284250259399
Packing Machine Worker  Food Processing,Mechanical fitter,3.0,Food Processing,0.5541625022888184
Automotive Conventional Machining Technician,Mechanical fitter,4.0,Automotive,0.5541390180587769
Textile Finishing Machine Operator,Mechanical fitter,2.0,Textile,0.5538367033004761
Milling Technician,Mechanical fitter,4.0,Food Processing,0.5537704229354858
Supervisor- Operations and Maintenance  (Compressed Biogas/Waste to Energy),Solar PV installer,5.0,Green Jobs,0.5535020232200623
Additive Manufacturing,Mechanical fitter,4.5,Automotive,0.5534360408782959
Packing Machine Worker-Food Processing,Mechanical fitter,3.0,Food Processing,0.5531885027885437
Bale Press Operator,Mechanical fitter,2.0,Textile,0.5531706809997559
Layout Engineer Level 5,Mechanical fitter,5.0,Automotive,0.5530398488044739
Assistant - Machinist - Iron and Steel,Mechanical fitter,3.0,Iron and Steel,0.5529730319976807
Automotive Plastic Moulding Assistant,Mechanical fitter,2.0,Automotive,0.5528303384780884
Driver Trainer-LMV,Truck driver,5.0,Automotive,0.5527598261833191
Automotive Production Equipment Design Engineer,Mechanical fitter,5.0,Automotive,0.5525088310241699
Mining Mate/Sirdar,Truck driver,5.0,Mining,0.5523433685302734
Food & Beverage Controller,Mechanical fitter,6.0,Tourism & Hospitality,0.5512374639511108
Dumper/ Tipper Operator,Truck driver,4.0,Mining,0.5511277318000793
Automotive Welding Machine Assistant,Mechanical fitter,2.0,Automotive,0.5510647296905518
Product Maker (Fashion Jewellery),Mechanical fitter,3.5,Handicrafts and Carpet,0.550979733467102
Fortified Rice Technician,Forklift operator,4.0,Food Processing,0.550747811794281
Assistant Mechanic - Instrumentation,Mechanical fitter,3.0,Iron and Steel,0.5506476163864136
Process Control Engineer - Basic Oxygen Furnace (BOF),Mechanical fitter,6.0,Iron and Steel,0.5504189729690552
Jumbo Drill Operator,Welder and fitter,4.0,Mining,0.550234317779541
Green Hydrogen Plant Technician,Solar PV installer,4.0,Green Jobs,0.5502051115036011
Automotive Sales Leader,Car sales advisor,5.0,Automotive,0.5500265955924988
Industry 4.0,Mechanical fitter,4.5,Automotive,0.549950122833252
